iter	Passed	Remaining
0	8	31896
1	14	27242
2	19	24795
3	23	22942
4	28	21828
5	32	20778
6	36	20101
7	40	19631
8	45	19380
9	49	19003
10	53	18702
11	57	18485
12	61	18314
13	65	18093
14	70	18048
15	75	18101
16	79	17960
17	83	17808
18	87	17829
19	93	18073
20	98	18109
21	104	18354
22	109	18312
23	113	18211
24	117	18133
25	122	18047
26	126	17999
27	130	17895
28	135	17896
29	139	17841
30	143	17775
31	147	17698
32	151	17638
33	156	17611
34	160	17543
35	164	17475
36	168	17483
37	173	17467
38	177	17406
39	181	17346
40	186	17380
41	191	17417
42	195	17381
43	200	17445
44	205	17444
45	209	17446
46	213	17395
47	218	17378
48	222	17365
49	226	17322
50	230	17285
51	235	17267
52	239	17271
53	244	17244
54	249	17286
55	253	17278
56	257	17246
57	261	17219
58	266	17238
59	271	17239
60	275	17214
61	280	17215
62	284	17179
63	289	17199
64	293	17170
65	297	17172
66	302	17157
67	306	17133
68	310	17111
69	316	17180
70	322	17275
71	327	17256
72	332	17279
73	336	17278
74	340	17243
75	345	17235
76	349	17214
77	354	17217
78	358	17189
79	363	17201
80	368	17251
81	374	17294
82	382	17461
83	386	17425
84	390	17389
85	394	17365
86	400	17417
87	409	17585
88	415	17659
89	420	17670
90	426	17710
91	431	17736
92	438	17801
93	443	17814
94	449	17865
95	453	17833
96	458	17826
97	462	17793
98	466	17778
99	470	17746
100	474	17718
101	479	17698
102	483	17678
103	490	17779
104	499	17896
105	503	17867
106	507	17837
107	511	17813
108	515	17795
109	519	17766
110	523	17740
111	527	17711
112	532	17701
113	536	17671
114	540	17657
115	544	17632
116	549	17618
117	553	17591
118	557	17580
119	561	17557
120	565	17531
121	569	17506
122	574	17495
123	578	17486
124	584	17512
125	588	17492
126	592	17472
127	598	17490
128	602	17465
129	606	17458
130	611	17446
131	615	17426
132	619	17408
133	624	17399
134	628	17390
135	632	17374
136	636	17351
137	641	17346
138	645	17334
139	649	17312
140	654	17309
141	658	17293
142	663	17281
143	667	17260
144	671	17240
145	675	17238
146	679	17221
147	684	17205
148	688	17203
149	693	17193
150	697	17172
151	701	17151
152	705	17149
153	710	17136
154	714	17129
155	718	17114
156	722	17097
157	727	17088
158	731	17070
159	735	17057
160	739	17042
161	744	17034
162	748	17016
163	752	17003
164	756	16989
165	761	16987
166	765	16973
167	770	16968
168	774	16955
169	779	16970
170	783	16951
171	788	16950
172	792	16942
173	796	16924
174	801	16917
175	805	16901
176	809	16892
177	813	16876
178	817	16859
179	822	16852
180	826	16839
181	830	16822
182	834	16808
183	838	16796
184	842	16783
185	846	16766
186	850	16754
187	855	16749
188	859	16732
189	863	16719
190	868	16721
191	872	16712
192	876	16701
193	880	16686
194	885	16682
195	889	16681
196	893	16665
197	898	16654
198	902	16642
199	906	16636
200	910	16624
201	914	16611
202	918	16599
203	923	16593
204	927	16583
205	931	16569
206	936	16564
207	941	16567
208	945	16554
209	949	16551
210	954	16546
211	958	16533
212	962	16523
213	968	16546
214	972	16539
215	977	16528
216	981	16516
217	985	16515
218	989	16501
219	993	16489
220	998	16484
221	1002	16477
222	1006	16462
223	1010	16450
224	1015	16445
225	1019	16438
226	1023	16427
227	1027	16414
228	1031	16406
229	1036	16399
230	1040	16387
231	1044	16376
232	1048	16366
233	1053	16362
234	1057	16350
235	1061	16340
236	1065	16332
237	1070	16333
238	1074	16323
239	1078	16317
240	1082	16307
241	1087	16297
242	1091	16284
243	1095	16273
244	1099	16266
245	1103	16256
246	1107	16244
247	1112	16240
248	1116	16234
249	1121	16246
250	1126	16235
251	1130	16233
252	1135	16226
253	1138	16214
254	1143	16207
255	1147	16200
256	1151	16190
257	1155	16178
258	1159	16166
259	1163	16160
260	1168	16150
261	1172	16139
262	1177	16151
263	1184	16180
264	1192	16216
265	1201	16273
266	1206	16276
267	1210	16271
268	1216	16288
269	1220	16279
270	1225	16274
271	1229	16269
272	1233	16258
273	1234	16206
274	1238	16196
275	1243	16189
276	1247	16182
277	1251	16172
278	1256	16169
279	1260	16160
280	1264	16152
281	1268	16141
282	1273	16140
